Apple Passion Fruit Pie;9790;30 m
Apple Pie;9988;30 m
Apple Tart;9988;15 m
Aquatic Elixir;10073;10 m
Avocado Smoothie;50091;30 m
Bag of Popped Candy Corn;77728;30 m
Bag of Simple Cat Food;10043;10 m
Banana Cream Pie;9989;30 m
Bit of Enchanted Clam Bait;9978;10 m
Blackberry Cookie;9795;30 m
Blackberry Pie;9955;30 m
Blackened Fish Steak;9784;10 m
Blessing of Azantil;9811;10 m
Blessing Of Bear;9758;10 m
Block of Tofu;65937;30m
Blood Orange;10009;15 m
Bloodstone Pot Pie;26445;5 h
Blueberry Cookie;9790;30 m
Blueberry Muffin;9782;10 m
Blueberry Pie;9950;30 m
Blueberry Tart;9994;30 m
Boiled Crawdad;9810;10 m
"Bowl of ""Elon Red""";43333;30 m
Bowl of Apple Sauce;9994;30 m
Bowl of Artichoke Soup;9808;30 m
Bowl of Ascalonian Salad;10075;30 m
Bowl of Asparagus and Sage Salad;10079;30 m
Bowl of Avocado Salsa;10053;30 m
Bowl of Avocado Stirfry;9736;30 m
Bowl of Basic Poultry Soup;10010;15 m
Bowl of Basic Vegetable Soup;10057;15 m
Bowl of Bean Salad;10051;30 m
Bowl of Beet and Bean Stew;9776;30 m
Bowl of Black Pepper Cactus Salad;24807;30 m
Bowl of Blackberry Pear Compote;10029;30 m
Bowl of Blueberry Apple Compote;10026;30 m
Bowl of Blueberry Chocolate Chunk Ice Cream;16505;30 m
Bowl of Butternut Squash Soup;9828;30 m
Bowl of Cabbage and Chickpea Salad;10078;30 m
Bowl of Cabbage Stirfry;10093;30 m
Bowl of Cactus Fruit Salad;24800;30 m
Bowl of Cactus Soup;24807;30 m
Bowl of Candy Corn Custard;15250;30 m
Bowl of Candy Corn Ice Cream;16523;30 m
Bowl of Carne Khan Chili;57982;30 m
Bowl of Cauliflower Sautee;9740;30 m
Bowl of Cauliflower Soup;9827;30 m
Bowl of Cherry Vanilla Compote;10028;30 m
Bowl of Chickpea and Poultry Soup;10015;30 m
Bowl of Chickpea Salad;10054;30 m
Bowl of Chickpea Soup;9807;30 m
Bowl of Chili and Avocado;10118;30 m
Bowl of Chocolate Chip Ice Cream;16506;30 m
Bowl of Chocolate Tapioca Pudding;33223;30 m
Bowl of Clam Chowder;10012;30 m
Bowl of Cold Wurm Stew;9759;30 m
Bowl of Coleslaw;10077;30 m
Bowl of Creamy Portobello Soup;9821;30 m
Bowl of Curry Butternut Squash Soup;9829;30 m
Bowl of Curry Mussel Soup;33337;30 m
Bowl of Curry Pumpkin Soup;9809;30 m
Bowl of Degun Shun Stew;10059;30 m
Bowl of Dilled Clam Chowder;10014;30 m
Bowl of Dolyak Stew;9779;30 m
Bowl of Echovald Hotpot;66663;1 h
Bowl of Eggplant Sautee;9741;30 m
Bowl of Eggplant Stirfry;9737;30 m
Bowl of Ettin Stew;9733;30 m
Bowl of Fancy Bean Chili;10058;30 m
Bowl of Fancy Creamy Mushroom Soup;9820;30 m
Bowl of Fancy Potato and Leek Soup;9805;30 m
Bowl of Fire Meat Chili;10119;30 m
Bowl of Fire Salsa;10056;30 m
Bowl of Fire Veggie Chili;10062;30 m
Bowl of Firebreather Chili;57853;30 m
Bowl of Fish Stew;64829;30 m
Bowl of Fly Soup;10007;10 m
Bowl of Front Line Stew;9790;30 m
Bowl of Fruit Salad with Cilantro Garnish;57401;1 h
Bowl of Fruit Salad with Mint Garnish;57100;1 h
Bowl of Fruit Salad with Orange-Clove Syrup;57397;1 h
Bowl of Garlic Kale Sautee;10009;30 m
Bowl of Garlic Spinach Sautee;9734;30 m
Bowl of Gelatinous Ooze Custard;9988;30 m
Bowl of Ginger-Lime Ice Cream;16504;30 m
Bowl of Gladiator Gruel;9810;10 m
Bowl of Green Bean Stew;10117;30 m
Bowl of Green Chile Ice Cream;58014;30 m
Bowl of Grilled Bananas with Passion Fruit Sauce;9784;30 m
Bowl of Hearty Poultry Soup;10090;30 m
Bowl of Hearty Red Meat Stew;10083;30 m
Bowl of Herbed Meat Stock;10093;30 m
Bowl of Herbed Poultry Stock;10089;30 m
Bowl of Herbed Vegetable Stock;9806;30 m
Bowl of Hummus;10066;30 m
Bowl of Ice Wurm Bisque;9776;10 m
Bowl of Jade Sea Bounty;64357;1 h
Bowl of Kale and Poultry Soup;10089;30 m
Bowl of Kale Soup;9806;30 m
Bowl of Kappa Soup;10083;10 m
Bowl of Kimchi Tofu Stew;65197;30 m
Bowl of Kraitweed Salad;10087;10 m
Bowl of Krytan Meatball Dinner;9810;30 m
Bowl of Lemongrass Mussel Pasta;33574;30 m
Bowl of Lemongrass Poultry Soup;10017;30m
Bowl of Lotus Stirfry;9738;30 m
Bowl of Mango Salsa;10055;30 m
Bowl of Marjory's Experimental Chili;21829;30 m
Bowl of Mashed Yams;10022;30 m
Bowl of Meat and Bean Chili;10116;30 m
Bowl of Meat and Cabbage Stew;10093;30 m
Bowl of Meat and Winter Vegetable Stew;10095;30 m
Bowl of Meaty Wurm Surprise;10117;10 m
Bowl of Mint Chocolate Chip Ice Cream;16503;30 m
Bowl of Mists-Infused Fruit Salad with Mint Garnish;69105;1 h
