name;url
Apple Passion Fruit Pie;https://wiki.guildwars2.com/wiki/Apple_Passion_Fruit_Pie#/media/File:Apple_Passion_Fruit_Pie.png
Apple Pie;https://wiki.guildwars2.com/wiki/Apple_Pie#/media/File:Apple_Pie.png
Apple Tart;https://wiki.guildwars2.com/wiki/Apple_Tart#/media/File:Apple_Tart.png
Aquatic Elixir;https://wiki.guildwars2.com/wiki/Aquatic_Elixir#/media/File:Jug_of_Water.png
Avocado Smoothie;https://wiki.guildwars2.com/wiki/Avocado_Smoothie#/media/File:Avocado_Smoothie.png
Bag of Popped Candy Corn;https://wiki.guildwars2.com/wiki/Bag_of_Popped_Candy_Corn#/media/File:Bag_of_Popped_Candy_Corn.png
Bag of Simple Cat Food;https://wiki.guildwars2.com/wiki/Bag_of_Simple_Cat_Food#/media/File:Pile_of_Tangy_Seasoning.png
Banana Cream Pie;https://wiki.guildwars2.com/wiki/Banana_Cream_Pie#/media/File:Banana_Cream_Pie.png
Bit of Enchanted Clam Bait;https://wiki.guildwars2.com/wiki/Bit_of_Enchanted_Clam_Bait#/media/File:Clam.png
Blackberry Cookie;https://wiki.guildwars2.com/wiki/Blackberry_Cookie#/media/File:Blackberry_Cookie.png
Blackberry Pie;https://wiki.guildwars2.com/wiki/Blackberry_Pie#/media/File:Blackberry_Pie.png
Blackened Fish Steak;https://wiki.guildwars2.com/wiki/Blackened_Fish_Steak#/media/File:Poached_Salmon_Filet.png
Blessing of Azantil;https://wiki.guildwars2.com/wiki/Blessing_of_Azantil#/media/File:Buttermilk_Biscuit.png
Blessing Of Bear;https://wiki.guildwars2.com/wiki/Blessing_Of_Bear#/media/File:Blessing_Of_Bear.png
Block of Tofu;https://wiki.guildwars2.com/wiki/Block_of_Tofu#/media/File:Block_of_Tofu.png
Blood Orange;https://wiki.guildwars2.com/wiki/Blood_Orange#/media/File:Blood_Orange.png
Bloodstone Pot Pie;https://wiki.guildwars2.com/wiki/Bloodstone_Pot_Pie#/media/File:Meat_Pie.png
Blueberry Cookie;https://wiki.guildwars2.com/wiki/Blueberry_Cookie#/media/File:Blueberry_Cookie.png
Blueberry Muffin;https://wiki.guildwars2.com/wiki/Blueberry_Muffin#/media/File:Blueberry_Muffin.png
Blueberry Pie;https://wiki.guildwars2.com/wiki/Blueberry_Pie#/media/File:Blueberry_Pie.png
Blueberry Tart;https://wiki.guildwars2.com/wiki/Blueberry_Tart#/media/File:Blueberry_Tart.png
Boiled Crawdad;https://wiki.guildwars2.com/wiki/Boiled_Crawdad#/media/File:Boiled_Crawdad.png
"Bowl of ""Elon Red""";https://wiki.guildwars2.com/wiki/Bowl_of_%22Elon_Red%22#/media/File:Bowl_of_%22Elon_Red%22.png
Bowl of Apple Sauce;https://wiki.guildwars2.com/wiki/Bowl_of_Apple_Sauce#/media/File:Bowl_of_Apple_Sauce.png
Bowl of Artichoke Soup;https://wiki.guildwars2.com/wiki/Bowl_of_Artichoke_Soup#/media/File:Bowl_of_Artichoke_Soup.png
Bowl of Ascalonian Salad;https://wiki.guildwars2.com/wiki/Bowl_of_Ascalonian_Salad#/media/File:Bowl_of_Ascalonian_Salad.png
Bowl of Asparagus and Sage Salad;https://wiki.guildwars2.com/wiki/Bowl_of_Asparagus_and_Sage_Salad#/media/File:Bowl_of_Asparagus_and_Sage_Salad.png
Bowl of Avocado Salsa;https://wiki.guildwars2.com/wiki/Bowl_of_Avocado_Salsa#/media/File:Bowl_of_Avocado_Salsa.png
Bowl of Avocado Stirfry;https://wiki.guildwars2.com/wiki/Bowl_of_Avocado_Stirfry#/media/File:Bowl_of_Avocado_Stirfry.png
Bowl of Basic Poultry Soup;https://wiki.guildwars2.com/wiki/Bowl_of_Basic_Poultry_Soup#/media/File:Bowl_of_Simple_Poultry_Soup.png
Bowl of Basic Vegetable Soup;https://wiki.guildwars2.com/wiki/Bowl_of_Basic_Vegetable_Soup#/media/File:Bowl_of_Basic_Vegetable_Soup.png
Bowl of Bean Salad;https://wiki.guildwars2.com/wiki/Bowl_of_Bean_Salad#/media/File:Bowl_of_Bean_Salad.png
Bowl of Beet and Bean Stew;https://wiki.guildwars2.com/wiki/Bowl_of_Beet_and_Bean_Stew#/media/File:Bowl_of_Beet_and_Bean_Stew.png
Bowl of Black Pepper Cactus Salad;https://wiki.guildwars2.com/wiki/Bowl_of_Black_Pepper_Cactus_Salad#/media/File:Bowl_of_Black_Pepper_Cactus_Salad.png
Bowl of Blackberry Pear Compote;https://wiki.guildwars2.com/wiki/Bowl_of_Blackberry_Pear_Compote#/media/File:Bowl_of_Blackberry_Pear_Compote.png
Bowl of Blueberry Apple Compote;https://wiki.guildwars2.com/wiki/Bowl_of_Blueberry_Apple_Compote#/media/File:Bowl_of_Blueberry_Apple_Compote.png
Bowl of Blueberry Chocolate Chunk Ice Cream;https://wiki.guildwars2.com/wiki/Bowl_of_Blueberry_Chocolate_Chunk_Ice_Cream#/media/File:Bowl_of_Blueberry_Chocolate_Chunk_Ice_Cream.png
Bowl of Butternut Squash Soup;https://wiki.guildwars2.com/wiki/Bowl_of_Butternut_Squash_Soup#/media/File:Bowl_of_Butternut_Squash_Soup.png
Bowl of Cabbage and Chickpea Salad;https://wiki.guildwars2.com/wiki/Bowl_of_Cabbage_and_Chickpea_Salad#/media/File:Bowl_of_Cabbage_and_Chickpea_Salad.png
Bowl of Cabbage Stirfry;https://wiki.guildwars2.com/wiki/Bowl_of_Cabbage_Stirfry#/media/File:Bowl_of_Cabbage_Stirfry.png
