Relic of Agony;104849
Relic of Akeem;101573
Relic of Altruism;104491
Relic of Antitoxin;101487
Relic of Atrocity;102787
Relic of Bava Nisos;104848
Relic of Bloodstone;104800
Relic of Castora;105652
Relic of Cerus;101500
Relic of Dagda;101491
Relic of Durability;101504
Relic of Dwayna;101514
Relic of Evasion;101441
Relic of Febe;101563
Relic of Fire;104501
Relic of Fireworks;101564
Relic of Fog;107030
Relic of Galdra;109264
Relic of Geysers;103829
Relic of Isgarren;101649
Relic of Karakosa;101546
Relic of Leadership;101461
Relic of Lyhr;101605
Relic of Mabon;101643
Relic of Mercy;101439
Relic of Mistburn;104994
Relic of Mosyn;101860
Relic of Mount Balrior;104035
Relic of Nayos;101627
Relic of Nourys;101503
Relic of Peitha;101611
Relic of Resistance;101466
Relic of Reunification;103984
Relic of Rivers;103015
Relic of Shackles;106916
Relic of Sorrow;103507
Relic of Speed;101442
Relic of Surging;104274
Relic of the Adventurer;101511
Relic of the Alliance;107192
Relic of the Afflicted;101493
Relic of the Aristocracy;101539
Relic of the Astral Ward;101619
Relic of the Beehive;103977
Relic of the Biomancer;106364
Relic of the Blightbringer;102896
Relic of the Brawler;101600
Relic of the Cavalier;101534
Relic of the Centaur;101607
Relic of the Chronomancer;101549
Relic of the Citadel;101647
Relic of the Claw;103574
Relic of the Coral Heart;107061
Relic of the Cruel Overseer;109664
Relic of the Daredevil;101644
Relic of the Deadeye;101637
Relic of the Defender;101513
Relic of the Demon Queen;101467
Relic of the Director;109351
Relic of the Doyen;109522
Relic of the Dragonhunter;101590
Relic of the Eagle;104413
Relic of the Earth;104383
Relic of the Firebrand;101452
Relic of the First Revenant;105585
Relic of the Flock;101527
Relic of the Forest Dweller;107124
Relic of the Founding;101776
Relic of the Fractal;101489
Relic of the Golemancer;104416
Relic of the Herald;101509
Relic of the Holosmith;104390
Relic of the Ice;101608
Relic of the Krait;101640
Relic of the Lich;104277
Relic of the Living City;104938
Relic of the Midnight King;101621
Relic of the Mirage;101581
Relic of the Mist Stranger;106206
Relic of the Mists Tide;103941
Relic of the Monk;101630
Relic of the Nautical Beast;106920
Relic of the Necromancer;101465
Relic of the Nightmare;101453
Relic of the Ogre;104334
Relic of the Pack;101447
Relic of the Phenom;104733
Relic of the Pirate Queen;106221
Relic of the Privateer;104311
Relic of the Reaper;101472
Relic of the Sacred Grounds;109267
Relic of the Scoundrel;106355
Relic of the Scourge;101634
Relic of the Sorcerer;101908
Relic of the Steamshrieker;104022
Relic of the Stormsinger;103262
Relic of the Sunless;101541
Relic of the Thief;101580
Relic of the Trooper;101554
Relic of the Twin Generals;101767
Relic of the Unseen Invasion;101571
Relic of the Warrior;101545
Relic of the Water;101474
Relic of the Wayfinder;101943
Relic of the Weaver;101526
Relic of the Wizard's Tower;101586
Relic of the Zephyrite;101618
Relic of Thorns;104424
Relic of Vampirism;104249
Relic of Vass;101492
Relic of Watch;109709
Relic of Zakiros;101955
