Major Sigil of Accuracy;24617
Major Sigil of Agility;74847
Major Sigil of Agony;24611
Major Sigil of Air;24553
Major Sigil of Battle;24602
Major Sigil of Benevolence;24586
Major Sigil of Blood;24569
Major Sigil of Bloodlust;24574
Major Sigil of Bursting;44943
Major Sigil of Celerity;24864
Major Sigil of Centaur Slaying;24644
Major Sigil of Chilling;24629
Major Sigil of Concentration;72010
Major Sigil of Corruption;24577
Major Sigil of Debility;24635
Major Sigil of Demon Slaying;24665
Major Sigil of Destroyer Slaying;24653
Major Sigil of Doom;24608
Major Sigil of Dreams;24680
Major Sigil of Earth;24559
Major Sigil of Elemental Slaying;24662
Major Sigil of Energy;24606
Major Sigil of Fire;24546
Major Sigil of Force;24614
Major Sigil of Frailty;24566
Major Sigil of Generosity;38293
Major Sigil of Geomancy;24604
Major Sigil of Ghost Slaying;24808
Major Sigil of Grawl Slaying;24647
Major Sigil of Hobbling;24626
Major Sigil of Hydromancy;24596
Major Sigil of Ice;24556
Major Sigil of Icebrood Slaying;24650
Major Sigil of Impact;24867
Major Sigil of Justice;24677
Major Sigil of Karka Slaying;37911
Major Sigil of Leeching;24598
Major Sigil of Life;24581
Major Sigil of Luck;24590
Major Sigil of Mad Scientists;24671
Major Sigil of Malice;44949
Major Sigil of Mischief;68434
Major Sigil of Ogre Slaying;24656
Major Sigil of Paralyzation;24638
Major Sigil of Perception;24579
Major Sigil of Peril;24620
Major Sigil of Renewal;44946
Major Sigil of Restoration;24593
Major Sigil of Serpent Slaying;24659
Major Sigil of Smoldering;24623
Major Sigil of Smothering;24674
Major Sigil of Sorrow;24683
Major Sigil of Speed;24588
Major Sigil of Strength;24563
Major Sigil of Transference;75623
Major Sigil of Undead Slaying;24641
Major Sigil of Venom;24633
Major Sigil of Water;24550
Major Sigil of Wrath;24668
Major Sigil of the Night;36054
Minor Sigil of Accuracy;24616
Minor Sigil of Agility;71220
Minor Sigil of Agony;24610
Minor Sigil of Air;24552
Minor Sigil of Benevolence;24585
Minor Sigil of Blood;24568
Minor Sigil of Bloodlust;24573
Minor Sigil of Bursting;44942
Minor Sigil of Celerity;24863
Minor Sigil of Centaur Slaying;24643
Minor Sigil of Chilling;24628
Minor Sigil of Concentration;73289
Minor Sigil of Corruption;24576
Minor Sigil of Debility;24634
Minor Sigil of Demon Slaying;24666
Minor Sigil of Destroyer Slaying;24652
Minor Sigil of Doom;24862
Minor Sigil of Dreams;24679
Minor Sigil of Earth;24558
Minor Sigil of Elemental Slaying;24663
Minor Sigil of Fire;24547
Minor Sigil of Force;24613
Minor Sigil of Frailty;24565
Minor Sigil of Generosity;38292
Minor Sigil of Geomancy;24603
Minor Sigil of Ghost Slaying;24807
Minor Sigil of Grawl Slaying;24646
Minor Sigil of Hobbling;24625
Minor Sigil of Hologram Slaying;91340
Minor Sigil of Hydromancy;24595
Minor Sigil of Ice;24557
Minor Sigil of Icebrood Slaying;24649
Minor Sigil of Impact;24866
Minor Sigil of Justice;24676
Minor Sigil of Karka Slaying;37910
Minor Sigil of Luck;24861
Minor Sigil of Mad Scientists;24670
Minor Sigil of Malice;44948
Minor Sigil of Mischief;68439
Minor Sigil of Ogre Slaying;24657
Minor Sigil of Paralyzation;24637
Minor Sigil of Peril;24619
Minor Sigil of Renewal;44945
Minor Sigil of Serpent Slaying;24660
Minor Sigil of Smoldering;24622
Minor Sigil of Smothering;24673
Minor Sigil of Sorrow;24682
Minor Sigil of Speed;24587
Minor Sigil of Strength;24564
Minor Sigil of Transference;75963
Minor Sigil of Undead Slaying;24640
Minor Sigil of Venom;24631
Minor Sigil of Water;24549
Minor Sigil of Wrath;24669
Minor Sigil of the Night;36055
Superior Sigil of Absorption;72872
Superior Sigil of Accuracy;24618
Superior Sigil of Agility;72092
Superior Sigil of Agony;24612
Superior Sigil of Air;24554
Superior Sigil of Battle;24601
Superior Sigil of Benevolence;24584
Superior Sigil of Blight;67913
Superior Sigil of Blood;24570
Superior Sigil of Bloodlust;24575
Superior Sigil of Bounty;81045
Superior Sigil of Bursting;44944
Superior Sigil of Celerity;24865
Superior Sigil of Centaur Slaying;24645
Superior Sigil of Chilling;24630
Superior Sigil of Cleansing;67340
Superior Sigil of Concentration;72339
Superior Sigil of Corruption;24578
Superior Sigil of Cruelty;67341
Superior Sigil of Debility;24636
Superior Sigil of Demon Slaying;24664
Superior Sigil of Demons;24583
Superior Sigil of Destroyer Slaying;24654
Superior Sigil of Doom;24609
Superior Sigil of Draining;70825
Superior Sigil of Dreams;24681
Superior Sigil of Earth;24560
Superior Sigil of Elemental Slaying;24661
Superior Sigil of Energy;24607
Superior Sigil of Fire;24548
Superior Sigil of Force;24615
Superior Sigil of Frailty;24567
Superior Sigil of Frenzy;82876
Superior Sigil of Generosity;38294
Superior Sigil of Geomancy;24605
Superior Sigil of Ghost Slaying;24809
Superior Sigil of Grawl Slaying;24648
Superior Sigil of Hobbling;24627
Superior Sigil of Hologram Slaying;91339
Superior Sigil of Hydromancy;24597
Superior Sigil of Ice;24555
Superior Sigil of Icebrood Slaying;24651
Superior Sigil of Impact;24868
Superior Sigil of Incapacitation;67343
Superior Sigil of Justice;24678
Superior Sigil of Karka Slaying;37912
Superior Sigil of Leeching;24599
Superior Sigil of Life;24582
Superior Sigil of Luck;24591
Superior Sigil of Mad Scientists;24672
Superior Sigil of Malice;44950
Superior Sigil of Mischief;68436
Superior Sigil of Momentum;49457
Superior Sigil of Nullification;24572
Superior Sigil of Ogre Slaying;24655
Superior Sigil of Paralyzation;24639
Superior Sigil of Perception;24580
Superior Sigil of Peril;24621
Superior Sigil of Purity;24571
Superior Sigil of Rage;24561
Superior Sigil of Rending;73532
Superior Sigil of Renewal;44947
Superior Sigil of Restoration;24594
Superior Sigil of Ruthlessness;71130
Superior Sigil of Serpent Slaying;24658
Superior Sigil of Severance;84505
Superior Sigil of Smoldering;24624
Superior Sigil of Smothering;24675
Superior Sigil of Sorrow;24684
Superior Sigil of Speed;24589
Superior Sigil of Stamina;24592
Superior Sigil of Strength;24562
Superior Sigil of Torment;48911
Superior Sigil of Transference;74326
Superior Sigil of Undead Slaying;24642
Superior Sigil of Venom;24632
Superior Sigil of Vision;24600
Superior Sigil of Water;24551
Superior Sigil of Wrath;24667
Superior Sigil of the Night;36053
Superior Sigil of the Stars;86170
