Apprentice Maintenance Oil;10111;30 m
Apprentice Tuning Crystal;10113;30 m
Artisan Maintenance Oil;9970;30 m
Artisan Tuning Crystal;9965;30 m
Bountiful Maintenance Oil Station;25879;1 h
Bountiful Maintenance Oil;25879;30 m
Bountiful Sharpening Stone;25880;30 m
Bountiful Tuning Crystal;25877;30 m
Chatoyant Elixir;59643;1 h
Compact Hardened Sharpening Stone;34657;30 m
Compact Quality Maintenance Oil;34671;30 m
Compact Quality Tuning Crystal;34677;30 m
Corsair Maintenance Oil;47734;30 m
Corsair Sharpening Stone;46925;30 m
Corsair Tuning Crystal;48348;30 m
Decade Enhancement Station;68235;2 h
Demon-Slaying Station;9901;1 h
Dragon Crystal Potion;54561;30 m
Enhanced Lucent Oil;53304;30 m
Extended Potion of Dredge Slaying;9949;2 h
Extended Potion of Flame Legion Slaying;9925;2 h
Extended Potion of Ghost Slaying;10115;2 h
Extended Potion of Inquest Slaying;9917;2 h
Extended Potion of Nightmare Court Slaying;9941;2 h
Extended Potion of Outlaw Slaying;9933;2 h
Extended Potion of Sons of Svanir Slaying;9909;2 h
Extended Potion of Undead Slaying;9837;2 h
Flask of Pumpkin Oil;25632;30 m
Fool's Dog Treat;67796;30 m
Fool's Ocular Tonic;79568;30 m
Fool's Tall Tonic;72381;30 m
Furious Maintenance Oil;25881;30 m
Furious Sharpening Stone;25882;30 m
Furious Tuning Crystal;25878;30 m
Hardened Sharpening Stone;9962;30 m
Holographic Super Apple;50307;30 m
Holographic Super Cheese;50320;30 m
Holographic Super Drumstick;50302;30 m
Hylek Maintenance Oil;9968;45 m
Journeyman Maintenance Oil;10112;30 m
Journeyman Tuning Crystal;10114;30 m
Karka Toughness Station;18704;1 h
Krait Tuning Crystal;9967;45 m
Lump of Crystallized Nougat;25631;30 m
Magnanimous Maintenance Oil Station;38605;1 h
Magnanimous Maintenance Oil;38605;30 m
Magnanimous Sharpening Stone;38522;30 m
Magnanimous Tuning Crystal Station;38678;1 h
Magnanimous Tuning Crystal;38678;30 m
Maintenance Oil Station;9968;1 h
Master Maintenance Oil;9968;30 m
Master Tuning Crystal;9967;30 m
Minor Potion of Branded Slaying;56812;30 m
Minor Potion of Centaur Slaying;9840;30 m
Minor Potion of Demon Slaying;9896;30 m
Minor Potion of Destroyer Slaying;9864;30 m
Minor Potion of Dredge Slaying;9944;30 m
Minor Potion of Elemental Slaying;9888;30 m
Minor Potion of Flame Legion Slaying;9920;30 m
Minor Potion of Grawl Slaying;9848;30 m
Minor Potion of Halloween Slaying;15274;30 m
Minor Potion of Hologram Slaying;56826;30m
Minor Potion of Ice Brood Slaying;9856;30 m
Minor Potion of Inquest Slaying;9912;30 m
Minor Potion of Krait Slaying;9880;30 m
Minor Potion of Mordrem Slaying;56779;30 m
Minor Potion of Nightmare Court Slaying;9936;30 m
Minor Potion of Ogre Slaying;9872;30 m
Minor Potion of Outlaw Slaying;9928;30 m
Minor Potion of Slaying Scarlet's Armies;56670;30 m
Minor Potion of Sons of Svanir Slaying;9904;30 m
Minor Potion of Undead Slaying;9832;30 m
Mist-Infused Maintenance Oil;25879;30 m
Mist-Infused Master Tuning Crystal;9967;30 m
Mist-Infused Sharpening Stone;9963;30 m
Ogre Sharpening Stone;9963;45 m
Peppermint Oil;34187;30 m
Potent Hardened Sharpening Stone;9962;1 h
Potent Lucent Oil;53374;30 m
Potent Master Maintenance Oil;9968;1 h
Potent Master Tuning Crystal;9967;1 h
Potent Potion of Centaur Slaying;9844;30 m
Potent Potion of Demon Slaying;9900;30 m
Potent Potion of Destroyer Slaying;9868;30 m
Potent Potion of Dredge Slaying;9948;30 m
Potent Potion of Elemental Slaying;9892;30 m
Potent Potion of Flame Legion Slaying;9924;30 m
Potent Potion of Grawl Slaying;9852;30 m
Potent Potion of Halloween Slaying;15278;30 m
Potent Potion of Ice Brood Slaying;9860;30 m
Potent Potion of Inquest Slaying;9916;30 m
Potent Potion of Krait Slaying;9884;30 m
Potent Potion of Nightmare Court Slaying;9940;30 m
Potent Potion of Ogre Slaying;9876;30 m
Potent Potion of Outlaw Slaying;9932;30 m
Potent Potion of Sons of Svanir Slaying;9908;30 m
Potent Potion of Undead Slaying;9836;30 m
Potent Quality Sharpening Stone;9961;30 m
Potent Simple Sharpening Stone;9959;1 h
Potent Standard Sharpening Stone;9960;30 m
Potent Superior Sharpening Stone;9963;1 h
Potion of Azantil;9834;1 h
Potion of Centaur Slaying;9842;30 m
Potion of Demon Slaying;9898;30 m
Potion of Destroyer Slaying;9866;30 m
Potion of Dredge Slaying;9946;30 m
Potion of Elemental Slaying;9890;30 m
Potion of Flame Legion Slaying;9922;30 m
Potion of Grawl Slaying;9850;30 m
Potion of Halloween Slaying;15276;30 m
Potion of Ice Brood Slaying;9858;30 m
Potion of Inquest Slaying;9914;30 m
Potion Of Karka Slaying;18703;1 h
Potion Of Karka Toughness;18704;1 h
Potion of Krait Slaying;9882;30 m
Potion of Nightmare Court Slaying;9938;30 m
Potion of Ogre Slaying;9874;30 m
Potion of Outlaw Slaying;9930;30 m
Potion of Sons of Svanir Slaying;9906;30 m
Potion of Undead Slaying;9834;30 m
Powerful Potion of Branded Slaying;56744;1 h
Powerful Potion of Centaur Slaying;9845;1 h
Powerful Potion of Demon Slaying;9901;1 h
Powerful Potion of Destroyer Slaying;9869;1 h
Powerful Potion of Dredge Slaying;9949;1 h
Powerful Potion of Elemental Slaying;9893;1 h
Powerful Potion of Flame Legion Slaying;9925;1 h
Powerful Potion of Grawl Slaying;9853;30 m
Powerful Potion of Halloween Slaying;15279;1 h
Powerful Potion of Ice Brood Slaying;9861;1 h
Powerful Potion of Inquest Slaying;9917;1 h
Powerful Potion of Krait Slaying;9885;1 h
Powerful Potion of Mordrem Slaying;56772;1 h
Powerful Potion of Nightmare Court Slaying;9941;1 h
Powerful Potion of Ogre Slaying;9877;1 h
Powerful Potion of Outlaw Slaying;9933;1 h
Powerful Potion of Slaying Scarlet's Armies;23228;1 h
Powerful Potion of Sons of Svanir Slaying;9909;1 h
Powerful Potion of Undead Slaying;9837;1 h
Quality Maintenance Oil;9969;30 m
Quality Sharpening Stone;9961;30 m
Quality Tuning Crystal;9966;30 m
Rough Sharpening Stone;9958;30 m
Serious Potion;72379;30 m
Sharpening Golem;77466;1 h
Sharpening Skull;25630;30 m
Sharpening Stone Station;9963;1 h
Simple Sharpening Stone;9959;30 m
Skale Venom (consumable);972;10 m
Snow Diamond Ornament;77727;30 m
Standard Maintenance Oil;9971;30 m
Standard Sharpening Stone;9960;30 m
Standard Tuning Crystal;9964;30 m
Strong Potion of Centaur Slaying;9843;30 m
Strong Potion of Demon Slaying;9899;30 m
Strong Potion of Destroyer Slaying;9867;30 m
Strong Potion of Dredge Slaying;9947;30 m
Strong Potion of Elemental Slaying;9891;30 m
Strong Potion of Flame Legion Slaying;9923;30 m
Strong Potion of Grawl Slaying;9851;30 m
Strong Potion of Halloween Slaying;15277;30 m
Strong Potion of Ice Brood Slaying;9859;30 m
Strong Potion of Inquest Slaying;9915;30 m
Strong Potion of Krait Slaying;9883;30 m
Strong Potion of Nightmare Court Slaying;9939;30 m
Strong Potion of Ogre Slaying;9875;30 m
Strong Potion of Outlaw Slaying;9931;30 m
Strong Potion of Sons of Svanir Slaying;9907;30 m
Strong Potion of Undead Slaying;9835;30 m
Superior Sharpening Stone;9963;30 m
Swift Moa Feather;23239;30 m
Thesis on Accuracy;32805;1 h
Thesis on Basic Accuracy;33572;1 h
Thesis on Basic Malice;33310;1 h
Thesis on Basic Speed;33776;1 h
Thesis on Basic Strength;33160;1 h
Thesis on Calculated Accuracy;33798;1 h
Thesis on Calculated Malice;32316;1 h
Thesis on Calculated Strength;32401;1 h
Thesis on Learned Accuracy;32374;1 h
Thesis on Learned Malice;31959;1 h
Thesis on Learned Strength;32044;1 h
Thesis on Malice;33803;1 h
Thesis on Masterful Accuracy;31970;1 h
Thesis on Masterful Malice;33836;1 h
Thesis on Masterful Strength;33297;1 h
Thesis on Speed;33005;1 h
Thesis on Strength;32105;1 h
Thesis on Studied Accuracy;32429;1 h
Thesis on Studied Malice;32927;1 h
Thesis on Studied Speed;33040;1 h
Thesis on Studied Strength;33647;1 h
Tin of Fruitcake;34211;30 m
Tiny Sharpening Stone;9958;15 m
Toxic Maintenance Oil;21827;30 m
Toxic Sharpening Stone;21826;30 m
Toxic Tuning Crystal Station;21828;1 h
Toxic Tuning Crystal;21828;30 m
Tuning Crystal Station;9967;1 h
Tuning Icicle;34206;30 m
Undead Battle Potion;9834;10 m
Weak Potion of Centaur Slaying;9838;30 m
Weak Potion of Demon Slaying;9894;30 m
Weak Potion of Destroyer Slaying;9862;30 m
Weak Potion of Dredge Slaying;9942;30 m
Weak Potion of Elemental Slaying;9886;30 m
Weak Potion of Flame Legion Slaying;9918;30 m
Weak Potion of Grawl Slaying;9846;30 m
Weak Potion of Halloween Slaying;15272;30 m
Weak Potion of Ice Brood Slaying;9854;30 m
Weak Potion of Inquest Slaying;9910;30 m
Weak Potion of Krait Slaying;9878;30 m
Weak Potion of Nightmare Court Slaying;9934;30 m
Weak Potion of Ogre Slaying;9870;30 m
Weak Potion of Outlaw Slaying;9926;30 m
Weak Potion of Sons of Svanir Slaying;9902;30 m
Weak Potion of Undead Slaying;9830;30 m
Writ of Accuracy;32805;30 m
Writ of Basic Accuracy;33572;30 m
Writ of Basic Malice;33310;30 m
Writ of Basic Speed;33776;30 m
Writ of Basic Strength;33160;30 m
Writ of Calculated Accuracy;33798;30 m
Writ of Calculated Malice;32316;30 m
Writ of Calculated Strength;32401;30 m
Writ of Learned Accuracy;32374;30 m
Writ of Learned Malice;31959;30 m
Writ of Learned Strength;32044;30 m
Writ of Malice;33803;30 m
Writ of Masterful Accuracy;31970;30 m
Writ of Masterful Malice;33836;30 m
Writ of Masterful Speed;33040;30 m
Writ of Masterful Strength;33297;30 m
Writ of Strength;32105;30 m
Writ of Studied Accuracy;32429;30 m
Writ of Studied Malice;32927;30 m
Writ of Studied Speed;33005;30 m
Writ of Studied Strength;;
